# Name                     RAdeg             DEdeg               Memb Disk Acc K2var   umag   gmag   rmag   imag   Hamag  SpT   Avmag                Lbol                Mstar               Rstar              logAge             logMacc             DlogMacc+ DlogMacc-
  EPIC224357842            271.10296         -24.38936           y    y    1   QPS     ""     17.387 16.031 15.332 15.506 K2.75 1.377                1.877               1.375               2.014              6.4                -8.44               0.094     0.224    
  EPIC224357960            270.95742         -24.38908           y    n    1   N       17.181 15.983 15.299 15.037 14.902 F9.25 0.984                2.252               1.191               1.397              7.26               -8.112              0.128     0.125    
  EPIC224358643            270.91967         -24.38783           y    y    ""  S       ""     16.455 15.058 14.546 ""     ""    ""                   ""                  ""                  ""                 ""                 ""                  ""        ""       
  EPIC224358719            271.121           -24.38786           y    y*   ""  QPS     ""     ""     17.48  ""     ""     F2    5.007                6.733               1.527               1.768              7.04               ""                  ""        ""       
  EPIC224359310            271.25667         -24.38669           y    n    1   N       16.327 14.918 14.155 13.842 13.943 G3.75 0.649                4.866               1.782               2.301              6.71               -8.166              0.058     0.652    
  EPIC224359324            271.03263         -24.38672           y    n    ""  S       ""     ""     15.137 ""     ""     G8.5  2.626                ""                  ""                  ""                 ""                 ""                  ""        ""       
  EPIC224359694            271.22908         -24.386             y    n    2   P       20.285 17.751 16.106 15.287 15.666 K7.5  1.417                2.871               0.587               3.411              5.41               -8.144              0.177     0.342    
  EPIC224359818            270.94577         -24.3858            y    n    0   ?       14.134 12.986 12.419 12.169 12.306 F8.5  0.32                 17.937              2.308               3.804              6.5                ""                  ""        ""       
  EPIC224359920            270.99679         -24.38556           y    y    0   S       17.678 15.963 14.852 14.305 14.626 G9.75 0.822                2.881               1.628               2.015              6.68               ""                  ""        ""       
  EPIC224360370            271.166           -24.38469           y    y    1   B       17.733 17.577 16.558 15.879 15.44  F3.75 2.484                2.364               ""                  1.15               ""                 ""                  ""        ""       
  EPIC224360524            271.12267         -24.3845            y    y*   0   P       19.065 16.586 15.162 14.427 14.806 K4    1.409                4.803               1.083               3.527              5.58               ""                  ""        ""       
  EPIC224360970            271.01978         -24.38373           ?    n    0   N       14.322 13.089 12.499 12.252 12.347 G3    0.184                15.445              2.487               4.04               6.29               ""                  ""        ""       
  EPIC224361254            270.96754         -24.38311           y    n    0   MP      16.248 14.344 13.232 12.709 12.977 K1.75 0.572                11.52               2.08                4.554              5.65               ""                  ""        ""       
  EPIC224361519            271.1626          -24.38267           y    n    ""  ?       12.93  ""     ""     ""     ""     B9.5  1.364                ""                  ""                  ""                 ""                 ""                  ""        ""       
